scenario_name,num_runs,unique_slot_ids,identical_slot_id_runs,unique_audit_hashes,identical_audit_hash_runs
det_admin_remote_afternoon,100,1,100,1,100
det_blood_test_after_wed,100,1,100,1,100
det_gp_in_person_tue_afternoon,100,1,100,1,100
det_monitoring_in_person_thu_morning,100,1,100,1,100
det_repeat_rx_phone,100,1,100,1,100
det_resp_video_wed_morning,100,1,100,1,100
det_unscheduled_weekdays_blocked,100,1,100,1,100
det_urinary_phone_fast,100,1,100,1,100
OVERALL,800,1,800,1,800
