N,mean_runtime_ms,mean_ci_lower,mean_ci_upper,median_runtime_ms,stdev_runtime_ms,p95_runtime_ms,max_runtime_ms
50,0.465,0.4347,0.5126,0.43,0.152,0.566,1.453
100,0.849,0.7489,1.0247,0.742,0.56,1.096,4.652
200,1.241,1.1981,1.2956,1.176,0.181,1.479,2.173
400,2.541,2.2495,2.9064,2.274,1.184,4.893,7.56
800,7.139,5.8866,8.5537,4.849,4.821,17.418,21.936
OLS_FIT,0.008847,-0.2956,0.9718,0.0,0.0,0.0,0.0
